Zeus,God,Mount Olympus,Rhea,Cronus,"ruled over the skies, law and order, lightning, thunder",Jupiter,Lightning Bolt,,
Athena,God,Mount Olympus,Metis,Zeus,"ruled over wisdom, courage, strategic warfare",Minerva,Owl,,
Apollo,God,Mount Olympus,Leto,Zeus,"ruled over music, poetry, art, oracles, archery",Apollo,Lyre,,
Aphrodite,God,Mount Olympus,,,"ruled over love, beauty, desire",Venus,Dove,,
Hermes,God,Mount Olympus,Maia,Zeus,"ruled over messenger of the gods, commerce, travelers",Mercury,Caduceus,,
Hera,God,Mount Olympus,Rhea,Cronus,"ruled over marriage, family",Juno,Peacock,,
Poseidon,God,Mount Olympus,Rhea,Cronus,"ruled over the sea, earthquakes, horses",Neptune,Trident,,
Hades,God,The Underworld,Rhea,Cronus,"ruled over the Underworld, ruler of the dead",Pluto,Helm of Darkness,,
Hestia,God,Mount Olympus,Rhea,Cronus,"ruled over hearth, home, family",Vesta,Harth,,
Demeter,God,Mount Olympus,Rhea,Cronus,"ruled over agriculture, the harvest",Ceres,Wheat,,
Persephone,God,The Underworld,Demeter,Zeus,"ruled over the Underworld, spring growth",Proserpina,Omegranate,,
Ares,God,Mount Olympus,Hera,Zeus,"ruled over war, bloodshed",Mars,Spear,,
Hephaestus,God,Mount Olympus,Hera,Zeus,"ruled over blacksmiths, fire, metalworking",Vulcan,Hammer,,
Dionysus,God,Mount Olympus,Semele,Zeus,"ruled over wine, revelry, festivals",Bacchus,Grapevine,,
Nike,God,Mount Olympus,Styx,Pallas,ruled over victory,Victoria,Laurel Wreath,,
Pan,God,Arcadia,Various,Hermes,"ruled over nature, rustic music, wild places",Faunus,Goat,,
Eros,God,Mount Olympus,Aphrodite,Ares,"ruled over love, desire",Cupid,Bow and Arrow,,
Hypnos,God,The Underworld,Nyx,Erebus,"ruled over sleep, dreams",Somnus,Poppy,,
Nemesis,God,Rhamnous,Nyx,Erebus,"ruled over retribution, vengeance",Invidia,Scales,,
Nyx,God,Tartarus,Chaos,,"ruled over night, darkness",Nox,Night Sky,,
Tartarus,God,The Underworld,Gaia,Chaos,"ruled over the abyss, a deep pit below the Underworld",Tartarus,Abyss,,
Uranus,God,The Sky,Gaia,,"ruled over primordial sky, father of the Titans",Uranus,Celestial Globe,,
Gaia,God,The Earth,,Chaos,"ruled over primordial earth, mother of the Titans",Tellus,Earth,,
Thanatos,God,The Underworld,Nyx,Erebus,"ruled over death, mortality",Letum,Scythe,,
Hecate,God,The Underworld,Asteria,Perses,"ruled over magic, crossroads, witchcraft, sorcery, ghosts and necromancy",Trivia,Torch,,
Themis,Titan,Mouth Othrys,Gaia,Uranus,"ruled over justice, law, divine order",Justitia,Scales,,
Hyperion,Titan,Mouth Othrys,Theia,Uranus,"ruled over sun, light",Sol,Sun,,
Rhea,Titan,Mouth Othrys,Gaia,Uranus,"ruled over fertility, motherhood",Cybele,Lion,,
Cronus,Titan,Mount Othrys,Gaia,Uranus,"ruled over time, fate, harvest",Saturn,Sickle,,
Atlas,Titan,Mouth Othrys,Clymene,Iapetus,"ruled over endurance, strength, astronomy",Atlas,Globe,,
Prometheus,Titan,Mouth Othrys,Clymene,Iapetus,"ruled over forethought, creator of humanity",Prometheus,Fire,,
Epimetheus,Titan,Mouth Othrys,Clymene,Iapetus,"ruled over afterthought, creator of animals",Epimetheus,Empty Hand,,
Oceanus,Titan,Mouth Othrys,Tethys,Uranus,ruled over the river that encircled the world,Oceanus,Ocean,,
Iapetus,Titan,Mouth Othrys,Clymene,Uranus,"ruled over mortality, the mortal life of humans",Iapetus,Celestial Globe,,
Crius,Titan,Mouth Othrys,Gaia,Uranus,"ruled over intellect, one of the Titans",Crius,Ram,,
Phoebe,Titan,Mouth Othrys,Gaia,Uranus,ruled over prophecy,Phoebe,Moon,,
Orion,Demigod,Crete,,Poseidon,,,,"Remembered as a mighty hunter who slew beasts such as the Scorpion and the Boar, immortalized as a constellation in the night sky",
Narcissus,Demigod,Thespiae,,Cephissus,,,,"Known for his excessive self-love, leading to his demise as he fell in love with his own reflection in a pool and wasted away",
Heracles,Demigod,Thebes,Alcmena,Zeus,,,,"Famed for his twelve labors, including slaying the Nemean Lion, capturing the Golden Hind of Artemis, and cleaning the Augean Stables",
Perseus,Demigod,Mycenae,Danae,Zeus,,,,Renowned for beheading the Gorgon Medusa and using her severed head to rescue Andromeda from a sea monster,
Achilles,Demigod,Phthia,Thetis,Peleus,,,,"Celebrated for his invulnerability except for his heel, which became his downfall during the Trojan War, where he was struck by a poisoned arrow",
Theseus,Demigod,Athens,Aethra,Poseidon,,,,"Known for slaying the Minotaur in the Labyrinth of Crete and founding democracy in Athens, establishing himself as a hero and a wise king",
Helen,Demigod,Sparta,Leda,Zeus,,,,"Her abduction by Paris of Troy led to the Trojan War, symbolizing the devastating consequences of beauty and desire",
Castor,Demigod,Sparta,Leda,Zeus,,,,"Remembered for his loyalty and brotherly love, as depicted in his adventures with his twin brother Pollux, the Dioscuri",
Pollux,Demigod,Sparta,Leda,Zeus,,,,"Known for his unwavering loyalty and brotherly bond with Castor, symbolizing the power of familial love and unity",
Augeas,Demigod,Elis,,Helios,,,,"Noted for his unclean stables, which Heracles cleaned in one day as one of his twelve labors, showcasing his strength and resourcefulness",
Atalanta,Demigod,Arcadia,Iasus,Schoeneus,,,,"Celebrated as a skilled huntress who participated in the Calydonian Boar Hunt and defeated her suitors in a footrace, symbolizing female prowess and independence",
Minos,Demigod,Crete,Europa,Zeus,,,,"Renowned for his wisdom and just rule as king of Crete, as well as his judgment in the underworld as one of the three judges",
Peleus,Demigod,Phthia,,Aeacus,,,,"Recognized as the father of Achilles and a hero in his own right, known for his participation in the Argonautic Expedition and his marriage to Thetis",
Ajax,Demigod,Salamis,Periboea,Telamon,,,,"Revered as a mighty warrior in the Trojan War, particularly for his role in the defense of the Greek ships and his tragic suicide after being denied Achilles' armor",
Aeneas,Demigod,Troy,Aphrodite,Anchises,,,,"Revered as the legendary founder of Rome and a hero of the Trojan War, as depicted in Virgil's Aeneid, where he flees Troy and embarks on a perilous journey",
King Priam,Mortal,Troy,Hecuba,Laomedon,,,,"Remembered as the tragic king of Troy during the Trojan War, whose city fell due to the Greek stratagem of the Trojan Horse, leading to his death and the fall of Troy",
Orpheus,Mortal,Thrace,Calliope,Oeagrus,,,,"Famed for his musical talents and his journey to the underworld to rescue his wife Eurydice, ultimately failing to bring her back due to his own lack of faith",
