Aeaea,Island,FALSE,,,Mythological island home of the enchantress Circe in Homer's Odyssey
Sparta,City,TRUE,Greece,690 square miles,
Elysium,Region,FALSE,,,"Mythological realm of the afterlife reserved for the virtuous and heroic in Greek mythology, described as a paradise or blessed land"
Tartarus,Region,FALSE,,,Mythological abyss or prison in the underworld where the Titans and other condemned beings are imprisoned and punished in Greek mythology
The Underworld,Region,FALSE,,,"Mythological realm of the dead in Greek mythology, ruled by Hades and inhabited by various spirits and entities"
Thebes,City,TRUE,Greece,4 square miles,
Troy,City,TRUE,Turkey,1 square miles,
Mount Olympus,Mountain,FALSE,,,"In Greek mythology, Mount Olympus is the legendary home of the twelve Olympian gods, located in northern Greece"
The Fields of Asphodel,Region,FALSE,,,Mythological section of the underworld where the souls of ordinary or indifferent individuals reside in Greek mythology
Athens,City,TRUE,Greece,15 square miles,
Corinth,City,TRUE,Greece,39 square miles,
Crete,Island,TRUE,Greece,"3,219 square miles",
Delphi,City,TRUE,Greece,,
Ithaca,Island,TRUE,Ionian Sea,37 square miles,
The Fields of Punishment,Region,FALSE,,,Mythological section of the underworld where the souls of the wicked are punished in Greek mythology
The Styx,River,FALSE,,,"Mythological river in the underworld, serving as a boundary between the mortal world and the underworld in Greek mythology"
The Acheron,River,FALSE,,,"Mythological river in the underworld, associated with the River of Pain or woe in Greek mythology"
The Cocytus,River,FALSE,,,"Mythological river in the underworld, associated with the River of Lamentation in Greek mythology"
The Lethe,River,FALSE,,,"Mythological river in the underworld, associated with oblivion or forgetfulness in Greek mythology"
Tenarus,City,TRUE,Greece,,
Ogygia,Island,FALSE,,,"Mythological island where the nymph Calypso resides, mentioned in Homer's Odyssey"
The Pillars of Hercules,Landmark,TRUE,Strait of Gibraltar,,
The Labyrinth,Landmark,FALSE,,,The Labyrinth is a mythological maze created by Daedalus on the island of Crete to contain the Minotaur
Aegean Sea,Sea,TRUE,Mediterranean Sea,"83,000 square miles",
Mount Pelion,Mountain,TRUE,Greece,620 square miles,
Mycenae,City,TRUE,Greece,,
Mount Othrys,Mountain,FALSE,,,"Mount Othrys is a principal mountain associated with the Titans in Greek mythology, serving as their stronghold during the Titanomachy"
Parnassus Cave,Landmark,TRUE,Greece,,
Euphrates River,River,TRUE,Eurasia,"1,740 miles",
Tiber River,River,TRUE,Italy,252 miles,
Caucasus Mountains,Mountain,TRUE,Eurasia,"170,000 square miles",
Ionian Sea,Sea,TRUE,Mediterranean Sea,"99,000 square miles",
